row_id,QuestionId,QuestionText,MC_Answer,StudentExplanation,Category,Misconception
27,31772,What fraction of the shape is not shaded? Give your answer in its simplest form. [Image: A triangle split into 9 equal smaller triangles. 6 of them are shaded.],\( \frac{1}{3} \),1/3 is the same as 3/9.,True_Correct,
28,31772,What fraction of the shape is not shaded? Give your answer in its simplest form. [Image: A triangle split into 9 equal smaller triangles. 6 of them are shaded.],\( \frac{1}{3} \),1/3 is the same as 3/9.,True_Correct,
29,31772,What fraction of the shape is not shaded? Give your answer in its simplest form. [Image: A triangle split into 9 equal smaller triangles. 6 of them are shaded.],\( \frac{1}{3} \),1/3 is the simplest form of 3/9,True_Correct,
30,31772,What fraction of the shape is not shaded? Give your answer in its simplest form. [Image: A triangle split into 9 equal smaller triangles. 6 of them are shaded.],\( \frac{1}{3} \),1/3 is the simplest form of 3/9,True_Correct,
31,31772,What fraction of the shape is not shaded? Give your answer in its simplest form. [Image: A triangle split into 9 equal smaller triangles. 6 of them are shaded.],\( \frac{1}{3} \),1/3 is the simplest form of 3/9.,True_Correct,
32,31772,What fraction of the shape is not shaded? Give your answer in its simplest form. [Image: A triangle split into 9 equal smaller triangles. 6 of them are shaded.],\( \frac{1}{3} \),1/3 is the simplest form of this shape.,True_Neither,
33,31772,What fraction of the shape is not shaded? Give your answer in its simplest form. [Image: A triangle split into 9 equal smaller triangles. 6 of them are shaded.],\( \frac{1}{3} \),1/3 is the simplest form.,True_Correct,
34,31772,What fraction of the shape is not shaded? Give your answer in its simplest form. [Image: A triangle split into 9 equal smaller triangles. 6 of them are shaded.],\( \frac{1}{3} \),1/3 is the simplifued version of 3/9 which is what you need to know.,True_Correct,
35,31772,What fraction of the shape is not shaded? Give your answer in its simplest form. [Image: A triangle split into 9 equal smaller triangles. 6 of them are shaded.],\( \frac{1}{3} \),1/3 is thee same as 3/9.,True_Correct,
36,31772,What fraction of the shape is not shaded? Give your answer in its simplest form. [Image: A triangle split into 9 equal smaller triangles. 6 of them are shaded.],\( \frac{1}{3} \),1/3 is thee same as 3/9.,True_Correct,
37,31772,What fraction of the shape is not shaded? Give your answer in its simplest form. [Image: A triangle split into 9 equal smaller triangles. 6 of them are shaded.],\( \frac{1}{3} \),1/3 is thr same as 3/9.,True_Correct,
38,31772,What fraction of the shape is not shaded? Give your answer in its simplest form. [Image: A triangle split into 9 equal smaller triangles. 6 of them are shaded.],\( \frac{1}{3} \),"1/3 of the 9 triangles are shaded, so 3/9=1/3.",True_Correct,
39,31772,What fraction of the shape is not shaded? Give your answer in its simplest form. [Image: A triangle split into 9 equal smaller triangles. 6 of them are shaded.],\( \frac{1}{3} \),"1/3 of the 9 triangles are shaded, so 3/9=1/3.",True_Neither,
40,31772,What fraction of the shape is not shaded? Give your answer in its simplest form. [Image: A triangle split into 9 equal smaller triangles. 6 of them are shaded.],\( \frac{1}{3} \),"1/3 of the triangle is 3, and 3 of them aren't shaded.",True_Correct,
41,31772,What fraction of the shape is not shaded? Give your answer in its simplest form. [Image: A triangle split into 9 equal smaller triangles. 6 of them are shaded.],\( \frac{1}{3} \),1/3 of the triangle is not shaded,True_Correct,
42,31772,What fraction of the shape is not shaded? Give your answer in its simplest form. [Image: A triangle split into 9 equal smaller triangles. 6 of them are shaded.],\( \frac{1}{3} \),"1/3 of the triangle is not shaded amd 3/ 9 is divisible by 3, making it 1/3.",True_Correct,
43,31772,What fraction of the shape is not shaded? Give your answer in its simplest form. [Image: A triangle split into 9 equal smaller triangles. 6 of them are shaded.],\( \frac{1}{3} \),"1/3.   3/9 shaded, and to find simplest from we divide the top and the bottom by 3.",True_Neither,
44,31772,What fraction of the shape is not shaded? Give your answer in its simplest form. [Image: A triangle split into 9 equal smaller triangles. 6 of them are shaded.],\( \frac{1}{3} \),"1/3. 3/9 shaded, and to find simplest from we divide the top and the bottom by 3.",True_Neither,
45,31772,What fraction of the shape is not shaded? Give your answer in its simplest form. [Image: A triangle split into 9 equal smaller triangles. 6 of them are shaded.],\( \frac{1}{3} \),13 is the simplest form of 3 9,True_Correct,
46,31772,What fraction of the shape is not shaded? Give your answer in its simplest form. [Image: A triangle split into 9 equal smaller triangles. 6 of them are shaded.],\( \frac{1}{3} \),2/3 is shaded so 1/3 is not,True_Correct,
47,31772,What fraction of the shape is not shaded? Give your answer in its simplest form. [Image: A triangle split into 9 equal smaller triangles. 6 of them are shaded.],\( \frac{1}{3} \),"3                                                              1
¬   are shaded which converts to       ¬
9                                                               3",True_Correct,
48,31772,What fraction of the shape is not shaded? Give your answer in its simplest form. [Image: A triangle split into 9 equal smaller triangles. 6 of them are shaded.],\( \frac{1}{3} \),3 9 are shaded and to put in its simplest form you would divide it by 3,True_Neither,
49,31772,What fraction of the shape is not shaded? Give your answer in its simplest form. [Image: A triangle split into 9 equal smaller triangles. 6 of them are shaded.],\( \frac{1}{3} \),3 9th's are shaded and it is the same as 1 3rd,True_Neither,
50,31772,What fraction of the shape is not shaded? Give your answer in its simplest form. [Image: A triangle split into 9 equal smaller triangles. 6 of them are shaded.],\( \frac{1}{3} \),"3 amd 9 can be divided by 3, so it makes 1 / 3.",True_Correct,
51,31772,What fraction of the shape is not shaded? Give your answer in its simplest form. [Image: A triangle split into 9 equal smaller triangles. 6 of them are shaded.],\( \frac{1}{3} \),3 and 9 can divide by 3 so it makes 1/3,True_Correct,
52,31772,What fraction of the shape is not shaded? Give your answer in its simplest form. [Image: A triangle split into 9 equal smaller triangles. 6 of them are shaded.],\( \frac{1}{3} \),"3 are mot shaded, 3/9=1/3.",True_Correct,
53,31772,What fraction of the shape is not shaded? Give your answer in its simplest form. [Image: A triangle split into 9 equal smaller triangles. 6 of them are shaded.],\( \frac{1}{3} \),3 are not shaded but you need to simplify the numbers,True_Neither,
54,31772,What fraction of the shape is not shaded? Give your answer in its simplest form. [Image: A triangle split into 9 equal smaller triangles. 6 of them are shaded.],\( \frac{1}{3} \),3 are not shaded out of nine which is the same as 1 over 3,True_Correct,
55,31772,What fraction of the shape is not shaded? Give your answer in its simplest form. [Image: A triangle split into 9 equal smaller triangles. 6 of them are shaded.],\( \frac{1}{3} \),"3 are unshaded and there are 9 altogether
3/9=1/3",True_Correct,
56,31772,What fraction of the shape is not shaded? Give your answer in its simplest form. [Image: A triangle split into 9 equal smaller triangles. 6 of them are shaded.],\( \frac{1}{3} \),3 are unshaded and there are 9 altogether 3/9=1/3.,True_Correct,
57,31772,What fraction of the shape is not shaded? Give your answer in its simplest form. [Image: A triangle split into 9 equal smaller triangles. 6 of them are shaded.],\( \frac{1}{3} \),"3 aren't shaded and there are 9 altogether, so it is 3/9, but you need to do it in its simplest form, which is 1/3.",True_Correct,
58,31772,What fraction of the shape is not shaded? Give your answer in its simplest form. [Image: A triangle split into 9 equal smaller triangles. 6 of them are shaded.],\( \frac{1}{3} \),3 aren't shaded and there are 9 triangles in total so its 3/9 and 3/9 becomes 1/3 when simplified.,True_Correct,
59,31772,What fraction of the shape is not shaded? Give your answer in its simplest form. [Image: A triangle split into 9 equal smaller triangles. 6 of them are shaded.],\( \frac{1}{3} \),3 aren't shaded in out of 9 =3/9=1/3,True_Correct,
60,31772,What fraction of the shape is not shaded? Give your answer in its simplest form. [Image: A triangle split into 9 equal smaller triangles. 6 of them are shaded.],\( \frac{1}{3} \),3 from the 9 triangles are not shaded and 3/9 simplified equals 1/3,True_Correct,
61,31772,What fraction of the shape is not shaded? Give your answer in its simplest form. [Image: A triangle split into 9 equal smaller triangles. 6 of them are shaded.],\( \frac{1}{3} \),3 goes into 9 three times which makes it one third,True_Correct,
62,31772,What fraction of the shape is not shaded? Give your answer in its simplest form. [Image: A triangle split into 9 equal smaller triangles. 6 of them are shaded.],\( \frac{1}{3} \),3 is not shaded and 6 is and 3/6 is 1/3,True_Neither,
63,31772,What fraction of the shape is not shaded? Give your answer in its simplest form. [Image: A triangle split into 9 equal smaller triangles. 6 of them are shaded.],\( \frac{1}{3} \),3 is not shaded and 9 is shaded. our current answer is 9/3. 9/3 simplified is 1/3.,True_Neither,
64,31772,What fraction of the shape is not shaded? Give your answer in its simplest form. [Image: A triangle split into 9 equal smaller triangles. 6 of them are shaded.],\( \frac{1}{3} \),3 is not shaded in and 3/9 is simplified to 1/3 so your answer is a,True_Correct,
65,31772,What fraction of the shape is not shaded? Give your answer in its simplest form. [Image: A triangle split into 9 equal smaller triangles. 6 of them are shaded.],\( \frac{1}{3} \),3 is shaded in and then it is explained.,True_Neither,
66,31772,What fraction of the shape is not shaded? Give your answer in its simplest form. [Image: A triangle split into 9 equal smaller triangles. 6 of them are shaded.],\( \frac{1}{3} \),3 is shaded in and then simplify it,True_Neither,
67,31772,What fraction of the shape is not shaded? Give your answer in its simplest form. [Image: A triangle split into 9 equal smaller triangles. 6 of them are shaded.],\( \frac{1}{3} \),3 ninths isn’t shaded and 1 third is the simplest form,True_Correct,
68,31772,What fraction of the shape is not shaded? Give your answer in its simplest form. [Image: A triangle split into 9 equal smaller triangles. 6 of them are shaded.],\( \frac{1}{3} \),3 ninths isn’t shaded and 1 third is the simplest form.,True_Correct,
69,31772,What fraction of the shape is not shaded? Give your answer in its simplest form. [Image: A triangle split into 9 equal smaller triangles. 6 of them are shaded.],\( \frac{1}{3} \),3 ninths simplified is one third,True_Correct,
70,31772,What fraction of the shape is not shaded? Give your answer in its simplest form. [Image: A triangle split into 9 equal smaller triangles. 6 of them are shaded.],\( \frac{1}{3} \),3 not shaded ones out of 9 triangles=3 over 9 which is simplified 1 third.,True_Correct,
71,31772,What fraction of the shape is not shaded? Give your answer in its simplest form. [Image: A triangle split into 9 equal smaller triangles. 6 of them are shaded.],\( \frac{1}{3} \),"3 not shaded, 9 in total, given its simplest form",True_Correct,
72,31772,What fraction of the shape is not shaded? Give your answer in its simplest form. [Image: A triangle split into 9 equal smaller triangles. 6 of them are shaded.],\( \frac{1}{3} \),3 of 9 is dark and then you simplify it.,True_Neither,
73,31772,What fraction of the shape is not shaded? Give your answer in its simplest form. [Image: A triangle split into 9 equal smaller triangles. 6 of them are shaded.],\( \frac{1}{3} \),3 of 9 is shaded and then you simplify it,True_Correct,
74,31772,What fraction of the shape is not shaded? Give your answer in its simplest form. [Image: A triangle split into 9 equal smaller triangles. 6 of them are shaded.],\( \frac{1}{3} \),3 of the 9 are not coloured in but in it's simplest form its a third,True_Correct,
75,31772,What fraction of the shape is not shaded? Give your answer in its simplest form. [Image: A triangle split into 9 equal smaller triangles. 6 of them are shaded.],\( \frac{1}{3} \),3 of the 9 are shaded which is 1 / 3 when simplified.,True_Correct,
76,31772,What fraction of the shape is not shaded? Give your answer in its simplest form. [Image: A triangle split into 9 equal smaller triangles. 6 of them are shaded.],\( \frac{1}{3} \),3 of the 9 are shaded which is 1/3 when simplified,True_Correct,
77,31772,What fraction of the shape is not shaded? Give your answer in its simplest form. [Image: A triangle split into 9 equal smaller triangles. 6 of them are shaded.],\( \frac{1}{3} \),3 of the 9 triangles are not shaded so it is 3/9 but you can simplify it to 1/3,True_Correct,
78,31772,What fraction of the shape is not shaded? Give your answer in its simplest form. [Image: A triangle split into 9 equal smaller triangles. 6 of them are shaded.],\( \frac{1}{3} \),3 of the 9 triangles are not shaded.  Break it down to 1/3.,True_Correct,
79,31772,What fraction of the shape is not shaded? Give your answer in its simplest form. [Image: A triangle split into 9 equal smaller triangles. 6 of them are shaded.],\( \frac{1}{3} \),3 of the 9 triangles are shaded simplest form is 1/3,True_Correct,
80,31772,What fraction of the shape is not shaded? Give your answer in its simplest form. [Image: A triangle split into 9 equal smaller triangles. 6 of them are shaded.],\( \frac{1}{3} \),3 of the 9 triangles are shaded simplest form is 1/3,True_Neither,
81,31772,What fraction of the shape is not shaded? Give your answer in its simplest form. [Image: A triangle split into 9 equal smaller triangles. 6 of them are shaded.],\( \frac{1}{3} \),3 of the 9 triangles were not shaded: 3/9  can be simplified to 1/3.,True_Correct,
82,31772,What fraction of the shape is not shaded? Give your answer in its simplest form. [Image: A triangle split into 9 equal smaller triangles. 6 of them are shaded.],\( \frac{1}{3} \),3 of the nine are shaded which is equivalent to one third,True_Neither,
83,31772,What fraction of the shape is not shaded? Give your answer in its simplest form. [Image: A triangle split into 9 equal smaller triangles. 6 of them are shaded.],\( \frac{1}{3} \),3 of the triangles are not shaded out of all 9 triangles so the fraction is 3/9 = 1/3.,True_Correct,
84,31772,What fraction of the shape is not shaded? Give your answer in its simplest form. [Image: A triangle split into 9 equal smaller triangles. 6 of them are shaded.],\( \frac{1}{3} \),3 out 9 are not shaded in and in the simplest form is 1 3rd,True_Correct,
85,31772,What fraction of the shape is not shaded? Give your answer in its simplest form. [Image: A triangle split into 9 equal smaller triangles. 6 of them are shaded.],\( \frac{1}{3} \),3 out of 9 are not shaded 3/9 simplest is 1/3,True_Correct,
86,31772,What fraction of the shape is not shaded? Give your answer in its simplest form. [Image: A triangle split into 9 equal smaller triangles. 6 of them are shaded.],\( \frac{1}{3} \),3 out of 9 are not shaded which is equal to 1 third,True_Correct,
87,31772,What fraction of the shape is not shaded? Give your answer in its simplest form. [Image: A triangle split into 9 equal smaller triangles. 6 of them are shaded.],\( \frac{1}{3} \),3 out of 9 are not shaded which is equal to 1 third.,True_Correct,
88,31772,What fraction of the shape is not shaded? Give your answer in its simplest form. [Image: A triangle split into 9 equal smaller triangles. 6 of them are shaded.],\( \frac{1}{3} \),"3 out of 9 are not shaded, and both are divisible by 3.",True_Correct,
89,31772,What fraction of the shape is not shaded? Give your answer in its simplest form. [Image: A triangle split into 9 equal smaller triangles. 6 of them are shaded.],\( \frac{1}{3} \),"3 out of 9 are not shaded, which equals a third",True_Correct,
90,31772,What fraction of the shape is not shaded? Give your answer in its simplest form. [Image: A triangle split into 9 equal smaller triangles. 6 of them are shaded.],\( \frac{1}{3} \),3 out of 9 are shaded and the fraction 3/9 simplified is 1/3,True_Correct,
91,31772,What fraction of the shape is not shaded? Give your answer in its simplest form. [Image: A triangle split into 9 equal smaller triangles. 6 of them are shaded.],\( \frac{1}{3} \),3 out of 9 are shaded. 3 out of 9=3/9. 3/9 in it simplest form =1/3,True_Correct,
92,31772,What fraction of the shape is not shaded? Give your answer in its simplest form. [Image: A triangle split into 9 equal smaller triangles. 6 of them are shaded.],\( \frac{1}{3} \),3 out of 9 aren't shaded and that simplifies to one third,True_Correct,
93,31772,What fraction of the shape is not shaded? Give your answer in its simplest form. [Image: A triangle split into 9 equal smaller triangles. 6 of them are shaded.],\( \frac{1}{3} \),"3 out of 9 aren't shaded, if you simplify it it is 1/3.",True_Correct,
94,31772,What fraction of the shape is not shaded? Give your answer in its simplest form. [Image: A triangle split into 9 equal smaller triangles. 6 of them are shaded.],\( \frac{1}{3} \),3 out of 9 aren't shaded.,True_Correct,
95,31772,What fraction of the shape is not shaded? Give your answer in its simplest form. [Image: A triangle split into 9 equal smaller triangles. 6 of them are shaded.],\( \frac{1}{3} \),3 out of 9 aren't shaded. 3/9 simplified is 1/3,True_Correct,
96,31772,What fraction of the shape is not shaded? Give your answer in its simplest form. [Image: A triangle split into 9 equal smaller triangles. 6 of them are shaded.],\( \frac{1}{3} \),3 out of 9 is a third,True_Correct,
97,31772,What fraction of the shape is not shaded? Give your answer in its simplest form. [Image: A triangle split into 9 equal smaller triangles. 6 of them are shaded.],\( \frac{1}{3} \),3 out of 9 is not shaded 3 ninths simplified = 1 third,True_Correct,
98,31772,What fraction of the shape is not shaded? Give your answer in its simplest form. [Image: A triangle split into 9 equal smaller triangles. 6 of them are shaded.],\( \frac{1}{3} \),3 out of 9 is not shaded so in the simplist form it would be 1 out of 3,True_Correct,
99,31772,What fraction of the shape is not shaded? Give your answer in its simplest form. [Image: A triangle split into 9 equal smaller triangles. 6 of them are shaded.],\( \frac{1}{3} \),3 out of 9 is shaded and when you simplify it you get a,True_Neither,
